product_id,product_name,category,subcategory,cost_price
PROD00041,Non-Fiction 104,Books,Non-Fiction,393.9
PROD00042,Sci-Fi 960,Books,Sci-Fi,341.39
PROD00043,Rug 573,Home,Rug,388.51
PROD00044,Mystery 211,Books,Mystery,305.28
PROD00045,Chair 651,Home,Chair,368.1
PROD00046,Camera 177,Electronics,Camera,425.55
PROD00047,Tablet 692,Electronics,Tablet,297.07
PROD00048,Tablet 366,Electronics,Tablet,499.37
PROD00049,History 893,Books,History,199.29
PROD00050,Chair 575,Home,Chair,49.82
PROD00051,Blender 110,Home,Blender,424.75
PROD00052,Socks 243,Clothing,Socks,93.68
PROD00053,Sweater 849,Clothing,Sweater,182.6
PROD00054,  SnEAKErS 337 ,Clothing,Sneakers,135.34
PROD00055,Sneakers 769,Clothing,Sneakers,295.9
PROD00056,Tablet 357,Electronics,Tablet,454.09
PROD00057,Sci-Fi 936,Books,Sci-Fi,246.0
PROD00058,Mystery 106,Books,Mystery,73.79
PROD00059,Jeans 178,Clothing,Jeans,144.0
PROD00060,Jeans 261,Clothing,Jeans,360.06
PROD00061,Camera 335,Electronics,Camera,168.46
PROD00062,Smartwatch 791,Electronics,Smartwatch,109.3
PROD00063,Sweater 953,Clothing,Sweater,125.62
PROD00064,Socks 706,Clothing,Socks,316.62
PROD00065,  Tablet 250 ,Electronics,Tablet,205.7
PROD00066,Camera 845,Electronics,Camera,145.31
PROD00067,Laptop 559,Electronics,Laptop,238.35
PROD00068,Non-Fiction 324,Books,Non-Fiction,302.42
PROD00069,Socks 775,Clothing,Socks,88.02
PROD00070,Rug 710,Home,Rug,118.76
PROD00071,   Non-Fiction 211   ,Books,Non-Fiction,414.12
PROD00072,Laptop 587,Electronics,Laptop,301.91
PROD00073,Smartphone 593,Electronics,Smartphone,451.48
PROD00074,Camera 764,Electronics,Camera,213.24
PROD00075,Camera 642,Electronics,Camera,469.52
PROD00076,Biography 458,Books,Biography,371.99
PROD00077,Smartwatch 237,Electronics,Smartwatch,384.1
PROD00078,Headphones 712,Electronics,Headphones,207.28
PROD00079,T-Shirt 826,Clothing,T-Shirt,8.52
PROD00080,Tablet 107,Electronics,Tablet,106.68
PROD00081,Rug 470,Home,Rug,215.91
PROD00082,Table 975,Home,Table,284.51
PROD00083,Cookware 506,Home,Cookware,209.55
PROD00084,Non-Fiction 479,Books,Non-Fiction,244.46
PROD00085,Blender 452,Home,Blender,202.07
PROD00086,Sweater 221,Clothing,Sweater,226.06
PROD00087,T-Shirt 319,Clothing,T-Shirt,394.11
PROD00088,Laptop 498,Electronics,Laptop,7.62
PROD00089,Laptop 582,Electronics,Laptop,220.51
PROD00090,Headphones 327,Electronics,Headphones,306.47
PROD00091,Biography 728,Books,Biography,146.8
PROD00092,Laptop 755,Electronics,Laptop,10.3
PROD00093,Chair 134,Home,Chair,257.72
PROD00094,Socks 273,Clothing,Socks,183.07
PROD00095,Laptop 188,Electronics,Laptop,390.94
PROD00096,Cookware 504,Home,Cookware,104.15
PROD00097, caMeRa 820   ,Electronics,Camera,206.53
PROD00098,Tablet 174,Electronics,Tablet,173.28
PROD00099,Tablet 363,Electronics,Tablet,407.51
PROD00100,Cookware 553,Home,Cookware,283.77
PROD00101,Jacket 894,Clothing,Jacket,233.06
PROD00102,Smartwatch 219,Electronics,Smartwatch,194.42
PROD00103,Sweater 818,Clothing,Sweater,161.29
PROD00104,  BlEnDER 648 ,Home,Blender,99.13
PROD00105,Jeans 853,Clothing,Jeans,136.38
PROD00106,Jeans 954,Clothing,Jeans,311.21
PROD00107,T-Shirt 222,Clothing,T-Shirt,339.53
PROD00108,Mystery 106,Books,Mystery,273.03
PROD00109,Smartwatch 480,Electronics,Smartwatch,248.71
PROD00110,Rug 287,Home,Rug,458.42
PROD00111,Rug 327,Home,Rug,68.48
PROD00112,  Biography 653  ,Books,Biography,389.07
PROD00113,Fiction 815,Books,Fiction,161.25
PROD00114,Smartphone 790,Electronics,Smartphone,292.6
PROD00115,Table 727,Home,Table,97.64
PROD00116,Chair 375,Home,Chair,308.48
PROD00117,Chair 610,Home,Chair,212.45
PROD00118,Table 974,Home,Table,228.11
PROD00119,Socks 802,Clothing,Socks,54.44
PROD00120,Chair 668,Home,Chair,193.54
PROD00121,Sweater 253,Clothing,Sweater,9.82
PROD00122,Biography 237,Books,Biography,425.45
PROD00123,Rug 407,Home,Rug,429.96
PROD00124,Smartwatch 201,Electronics,Smartwatch,34.72
PROD00125,Rug 959,Home,Rug,227.68
PROD00126,Table 469,Home,Table,280.96
PROD00127,Table 120,Home,Table,178.79
PROD00128,Socks 689,Clothing,Socks,271.53
PROD00129,Table 432,Home,Table,246.31
PROD00130,Fiction 490,Books,Fiction,234.56
PROD00131,Jeans 755,Clothing,Jeans,172.01
PROD00132,Fiction 181,Books,Fiction,117.97
PROD00133,Cookware 398,Home,Cookware,304.67
PROD00134,Sci-Fi 555,Books,Sci-Fi,469.69
PROD00135,Biography 271,Books,Biography,16.44
PROD00136,Sweater 357,Clothing,Sweater,351.84
PROD00137,Laptop 270,Electronics,Laptop,52.3
PROD00138,  Mystery 155   ,Books,Mystery,46.21
PROD00139,  bLEnDER 259  ,Home,Blender,467.75
PROD00140,Non-Fiction 814,Books,Non-Fiction,297.46
PROD00141,History 866,Books,History,284.17
PROD00142,Table 593,Home,Table,403.33
PROD00143,Sci-Fi 474,Books,Sci-Fi,82.08
PROD00144,Smartphone 635,Electronics,Smartphone,424.73
PROD00145,Table 580,Home,Table,345.45
PROD00146,  Biography 406  ,Books,Biography,399.4
PROD00147,Chair 521,Home,Chair,221.37
PROD00148,Jeans 832,Clothing,Jeans,197.91
PROD00149,   Non-Fiction 369 ,Books,Non-Fiction,400.98
PROD00150,Table 764,Home,Table,405.36
PROD00151, NOn-FIcTiON 973  ,Books,Non-Fiction,112.51
PROD00152,Sci-Fi 904,Books,Sci-Fi,498.99
PROD00153, hISTory 910 ,Books,History,224.27
PROD00154,Laptop 571,Electronics,Laptop,51.51
PROD00155,Sneakers 498,Clothing,Sneakers,159.49
PROD00156,Chair 744,Home,Chair,373.64
PROD00157,Headphones 592,Electronics,Headphones,103.37
PROD00158,Camera 323,Electronics,Camera,121.8
PROD00159,Sci-Fi 115,Books,Sci-Fi,141.67
PROD00160,Smartwatch 908,Electronics,Smartwatch,484.57
PROD00161,History 710,Books,History,386.54
PROD00162,   Jeans 611  ,Clothing,Jeans,498.5
PROD00163,Smartphone 464,Electronics,Smartphone,352.16
PROD00164,Laptop 599,Electronics,Laptop,490.93
PROD00165,Rug 850,Home,Rug,346.18
PROD00166,Cookware 237,Home,Cookware,24.55
PROD00167,Mystery 401,Books,Mystery,247.6
PROD00168,Socks 456,Clothing,Socks,236.86
PROD00169,T-Shirt 643,Clothing,T-Shirt,151.36
PROD00170,Blender 475,Home,Blender,389.08
PROD00171,History 289,Books,History,311.77
PROD00172,Blender 344,Home,Blender,36.35
PROD00173,Non-Fiction 636,Books,Non-Fiction,384.04
PROD00174,Socks 389,Clothing,Socks,322.25
PROD00175,Smartphone 635,Electronics,Smartphone,26.67
PROD00176, JeANs 994  ,Clothing,Jeans,11.48
PROD00177,Sweater 603,Clothing,Sweater,416.88
PROD00178,History 162,Books,History,373.02
PROD00179,Sci-Fi 913,Books,Sci-Fi,412.7
PROD00180,Blender 141,Home,Blender,418.06
PROD00181,   Laptop 631 ,Electronics,Laptop,98.78
PROD00182,Socks 740,Clothing,Socks,281.42
PROD00183,History 208,Books,History,290.4
PROD00184,History 781,Books,History,56.53
PROD00185,Socks 511,Clothing,Socks,330.48
PROD00186,Sci-Fi 422,Books,Sci-Fi,498.44
PROD00187,Rug 882,Home,Rug,413.95
PROD00188,Blender 346,Home,Blender,110.89
PROD00189,Table 563,Home,Table,201.56
PROD00190, hEAdphones 710  ,Electronics,Headphones,445.36
PROD00191,Jeans 362,Clothing,Jeans,50.49
PROD00192,Mystery 322,Books,Mystery,363.17
PROD00193,Non-Fiction 599,Books,Non-Fiction,346.35
PROD00194,Tablet 757,Electronics,Tablet,366.74
PROD00195,  Fiction 898  ,Books,Fiction,219.98
PROD00196,Laptop 865,Electronics,Laptop,303.14
PROD00197,Camera 896,Electronics,Camera,31.79
PROD00198,Headphones 652,Electronics,Headphones,166.78
PROD00199,Jeans 151,Clothing,Jeans,498.7
PROD00200,Mystery 689,Books,Mystery,114.93
PROD00201,Rug 251,Home,Rug,45.86
PROD00202,Tablet 508,Electronics,Tablet,202.27
PROD00203,History 233,Books,History,243.06
PROD00204,Sneakers 504,Clothing,Sneakers,102.07
PROD00205,Jeans 173,Clothing,Jeans,217.88
PROD00206,Smartphone 787,Electronics,Smartphone,185.81
PROD00207,Jacket 452,Clothing,Jacket,16.98
PROD00208,Chair 458,Home,Chair,495.13
PROD00209,Mystery 249,Books,Mystery,462.49
PROD00210,Jeans 801,Clothing,Jeans,380.08
PROD00211,   Smartphone 857 ,Electronics,Smartphone,410.97
PROD00212,Headphones 810,Electronics,Headphones,156.03
PROD00213,Fiction 439,Books,Fiction,271.31
PROD00214,Socks 635,Clothing,Socks,276.66
PROD00215,Sweater 815,Clothing,Sweater,191.42
PROD00216, Headphones 274   ,Electronics,Headphones,31.28
PROD00217,Smartphone 497,Electronics,Smartphone,333.18
PROD00218,Lamp 119,Home,Lamp,442.28
PROD00219,Non-Fiction 489,Books,Non-Fiction,356.3
PROD00220,Rug 987,Home,Rug,48.57
PROD00221,Socks 568,Clothing,Socks,357.67
PROD00222,Laptop 642,Electronics,Laptop,247.52
PROD00223,T-Shirt 455,Clothing,T-Shirt,180.91
PROD00224,Chair 613,Home,Chair,35.69
PROD00225,Rug 934,Home,Rug,472.35
PROD00226,Chair 255,Home,Chair,199.46
PROD00227,T-Shirt 847,Clothing,T-Shirt,480.5
PROD00228,Sneakers 346,Clothing,Sneakers,216.1
PROD00229,Blender 437,Home,Blender,70.23
PROD00230,Socks 654,Clothing,Socks,105.14
PROD00231,Jacket 805,Clothing,Jacket,264.28
PROD00232,Sneakers 888,Clothing,Sneakers,466.85
PROD00233,Jacket 169,Clothing,Jacket,474.56
PROD00234,Laptop 425,Electronics,Laptop,77.03
PROD00235,Headphones 523,Electronics,Headphones,155.16
PROD00236,Chair 897,Home,Chair,70.12
PROD00237,Tablet 731,Electronics,Tablet,285.69
PROD00238,Socks 337,Clothing,Socks,17.91
PROD00239,Camera 898,Electronics,Camera,253.65
PROD00240,History 765,Books,History,426.8
PROD00241,Biography 240,Books,Biography,117.01
PROD00242,Fiction 376,Books,Fiction,115.16
PROD00243,Jeans 167,Clothing,Jeans,477.58
PROD00244,Mystery 601,Books,Mystery,434.05
PROD00245,Sneakers 514,Clothing,Sneakers,305.93
PROD00246,History 420,Books,History,469.87
PROD00247,Tablet 211,Electronics,Tablet,414.37
PROD00248,Laptop 631,Electronics,Laptop,492.0
PROD00249,Tablet 496,Electronics,Tablet,317.17
PROD00250,Laptop 398,Electronics,Laptop,442.78
PROD00251,Rug 270,Home,Rug,308.5
PROD00252,Camera 629,Electronics,Camera,234.47
PROD00253,Fiction 839,Books,Fiction,93.99
PROD00254,Sneakers 523,Clothing,Sneakers,17.33
PROD00255,Mystery 829,Books,Mystery,441.86
PROD00256,Headphones 431,Electronics,Headphones,454.05
PROD00257,Sweater 850,Clothing,Sweater,61.51
PROD00258,   History 471  ,Books,History,487.72
PROD00259,Sneakers 663,Clothing,Sneakers,385.29
PROD00260,Blender 992,Home,Blender,79.29
PROD00261,Jeans 887,Clothing,Jeans,212.69
PROD00262,Cookware 887,Home,Cookware,147.95
PROD00263,T-Shirt 234,Clothing,T-Shirt,6.75
PROD00264,Lamp 569,Home,Lamp,251.83
PROD00265,Tablet 605,Electronics,Tablet,296.49
PROD00266,Biography 519,Books,Biography,302.6
PROD00267,Laptop 660,Electronics,Laptop,316.17
PROD00268,T-Shirt 289,Clothing,T-Shirt,328.37
PROD00269,   lAPTop 974   ,Electronics,Laptop,230.39
PROD00270,Lamp 195,Home,Lamp,164.8
PROD00271,Fiction 876,Books,Fiction,277.48
PROD00272,Rug 237,Home,Rug,430.41
PROD00273,Blender 523,Home,Blender,349.44
PROD00274,Smartphone 685,Electronics,Smartphone,316.34
PROD00275,Smartwatch 841,Electronics,Smartwatch,467.28
PROD00276,Rug 723,Home,Rug,133.53
PROD00277,Chair 729,Home,Chair,262.25
PROD00278,Biography 927,Books,Biography,306.66
PROD00279,Chair 101,Home,Chair,235.12
PROD00280,Camera 968,Electronics,Camera,309.58
PROD00281,Biography 146,Books,Biography,282.41
PROD00282,T-Shirt 755,Clothing,T-Shirt,144.41
PROD00283,Headphones 407,Electronics,Headphones,165.34
PROD00284,Smartphone 802,Electronics,Smartphone,201.04
PROD00285,Laptop 298,Electronics,Laptop,172.28
PROD00286, BioGraPhy 916  ,Books,Biography,169.2
PROD00287,Lamp 252,Home,Lamp,20.43
PROD00288,History 647,Books,History,287.64
PROD00289,Non-Fiction 709,Books,Non-Fiction,392.26
PROD00290,Cookware 978,Home,Cookware,20.66
PROD00291,Fiction 608,Books,Fiction,188.93
PROD00292,Chair 637,Home,Chair,60.55
PROD00293,Laptop 194,Electronics,Laptop,17.34
PROD00294,Mystery 257,Books,Mystery,462.2
PROD00295,Table 246,Home,Table,53.63
PROD00296,  Jeans 841   ,Clothing,Jeans,62.34
PROD00297,Lamp 803,Home,Lamp,436.58
PROD00298,Rug 147,Home,Rug,384.26
PROD00299,Lamp 691,Home,Lamp,321.23
PROD00300,Jacket 305,Clothing,Jacket,141.94
PROD00301,Rug 787,Home,Rug,78.91
PROD00302,Lamp 115,Home,Lamp,282.01
PROD00303,Laptop 655,Electronics,Laptop,162.65
PROD00304,Sweater 923,Clothing,Sweater,126.19
PROD00305,Headphones 727,Electronics,Headphones,272.59
PROD00306,Laptop 129,Electronics,Laptop,339.37
PROD00307,  Smartwatch 155 ,Electronics,Smartwatch,446.18
PROD00308,Mystery 464,Books,Mystery,409.63
PROD00309,Smartwatch 681,Electronics,Smartwatch,407.36
PROD00310,Fiction 566,Books,Fiction,323.99
PROD00311,Biography 337,Books,Biography,76.14
PROD00312,Table 501,Home,Table,459.05
PROD00313,Table 564,Home,Table,37.36
PROD00314,Headphones 590,Electronics,Headphones,89.55
PROD00315,Blender 688,Home,Blender,55.95
PROD00316,Headphones 669,Electronics,Headphones,397.25
PROD00317,Biography 704,Books,Biography,312.33
PROD00318, Sneakers 493   ,Clothing,Sneakers,393.24
PROD00319,Mystery 906,Books,Mystery,348.6
PROD00320,   Sweater 785   ,Clothing,Sweater,61.59
PROD00321,  Sci-fI 668 ,Books,Sci-Fi,292.48
PROD00322,Laptop 776,Electronics,Laptop,267.97
PROD00323,Mystery 691,Books,Mystery,106.8
PROD00324,Table 683,Home,Table,341.38
PROD00325,History 452,Books,History,293.45
PROD00326,Non-Fiction 972,Books,Non-Fiction,187.77
PROD00327,Smartphone 820,Electronics,Smartphone,489.45
PROD00328,  Headphones 986   ,Electronics,Headphones,314.48
PROD00329,Biography 490,Books,Biography,109.55
PROD00330,Sneakers 242,Clothing,Sneakers,195.37
PROD00331,Rug 257,Home,Rug,437.0
PROD00332, Jeans 111 ,Clothing,Jeans,245.92
PROD00333,Non-Fiction 186,Books,Non-Fiction,403.94
PROD00334,History 718,Books,History,313.51
PROD00335,Mystery 534,Books,Mystery,227.77
PROD00336,Chair 290,Home,Chair,8.68
PROD00337,History 342,Books,History,138.28
PROD00338,Lamp 138,Home,Lamp,353.92
PROD00339,Tablet 593,Electronics,Tablet,44.63
PROD00340,   rug 629 ,Home,Rug,452.27
PROD00341,Smartwatch 564,Electronics,Smartwatch,237.27
PROD00342,Rug 461,Home,Rug,400.12
PROD00343,Chair 136,Home,Chair,300.83
PROD00344,Cookware 903,Home,Cookware,35.4
PROD00345,Mystery 273,Books,Mystery,329.88
PROD00346,  CoOkWAre 739 ,Home,Cookware,91.82
PROD00347,Sneakers 285,Clothing,Sneakers,431.7
PROD00348,Lamp 248,Home,Lamp,411.75
PROD00349,Biography 888,Books,Biography,332.03
PROD00350,Jeans 691,Clothing,Jeans,175.81
PROD00351,Lamp 153,Home,Lamp,202.38
PROD00352,Rug 864,Home,Rug,461.62
PROD00353,Sneakers 799,Clothing,Sneakers,239.92
PROD00354,Socks 991,Clothing,Socks,147.95
PROD00355,Biography 794,Books,Biography,267.48
PROD00356,Smartphone 644,Electronics,Smartphone,478.31
PROD00357,Mystery 767,Books,Mystery,170.81
PROD00358,Lamp 361,Home,Lamp,198.62
PROD00359,Sweater 788,Clothing,Sweater,101.49
PROD00360,Cookware 806,Home,Cookware,160.07
PROD00361,Camera 108,Electronics,Camera,10.92
PROD00362,Tablet 206,Electronics,Tablet,179.0
PROD00363,   taBlE 297 ,Home,Table,383.11
PROD00364,T-Shirt 812,Clothing,T-Shirt,150.81
PROD00365,Camera 564,Electronics,Camera,141.81
PROD00366,History 783,Books,History,165.09
PROD00367,T-Shirt 383,Clothing,T-Shirt,194.49
PROD00368,Lamp 364,Home,Lamp,136.01
PROD00369,Fiction 603,Books,Fiction,104.33
PROD00370,Non-Fiction 760,Books,Non-Fiction,76.22
PROD00371,Non-Fiction 728,Books,Non-Fiction,456.74
PROD00372,   LaMp 135   ,Home,Lamp,452.79
PROD00373,Tablet 824,Electronics,Tablet,247.89
PROD00374,Biography 964,Books,Biography,407.08
PROD00375,   taBLEt 331  ,Electronics,Tablet,421.38
PROD00376,Cookware 307,Home,Cookware,24.47
PROD00377,History 295,Books,History,198.1
PROD00378,Camera 805,Electronics,Camera,47.01
PROD00379,History 294,Books,History,100.58
PROD00380,   snEaKErS 498   ,Clothing,Sneakers,340.65
PROD00381,Sweater 693,Clothing,Sweater,40.66
PROD00382,   sNeakErs 769 ,Clothing,Sneakers,309.74
PROD00383,Laptop 536,Electronics,Laptop,418.77
PROD00384,Sci-Fi 223,Books,Sci-Fi,290.1
PROD00385,Jacket 956,Clothing,Jacket,110.55
PROD00386,Tablet 277,Electronics,Tablet,64.77
PROD00387,Sneakers 272,Clothing,Sneakers,278.94
PROD00388, Non-Fiction 695   ,Books,Non-Fiction,389.94
PROD00389, Smartwatch 182 ,Electronics,Smartwatch,298.9
PROD00390,Rug 810,Home,Rug,387.42
PROD00391,Jeans 246,Clothing,Jeans,263.93
PROD00392,Non-Fiction 278,Books,Non-Fiction,23.62
PROD00393,Sweater 611,Clothing,Sweater,48.57
PROD00394, tABle 528 ,Home,Table,100.89
PROD00395,Sweater 964,Clothing,Sweater,239.83
PROD00396,Jeans 786,Clothing,Jeans,31.74
PROD00397,Table 314,Home,Table,170.48
PROD00398,Fiction 206,Books,Fiction,462.81
PROD00399,   JEaNs 904 ,Clothing,Jeans,122.37
PROD00400,Non-Fiction 484,Books,Non-Fiction,41.4
PROD00401,Fiction 546,Books,Fiction,464.3
PROD00402,Non-Fiction 496,Books,Non-Fiction,231.58
PROD00403,Sweater 467,Clothing,Sweater,105.09
PROD00404,T-Shirt 808,Clothing,T-Shirt,143.9
PROD00405,Smartwatch 569,Electronics,Smartwatch,381.37
PROD00406,Jacket 718,Clothing,Jacket,398.31
PROD00407,Socks 666,Clothing,Socks,47.8
PROD00408,Non-Fiction 705,Books,Non-Fiction,234.07
PROD00409,Camera 538,Electronics,Camera,127.09
PROD00410,Rug 693,Home,Rug,464.1
PROD00411,Socks 105,Clothing,Socks,26.89
PROD00412,History 887,Books,History,215.72
PROD00413,Biography 929,Books,Biography,411.54
PROD00414, Biography 346   ,Books,Biography,475.22
PROD00415,Jacket 402,Clothing,Jacket,499.48
PROD00416,Smartwatch 785,Electronics,Smartwatch,353.14
PROD00417,Smartwatch 574,Electronics,Smartwatch,437.73
PROD00418,Non-Fiction 908,Books,Non-Fiction,315.27
PROD00419,Camera 172,Electronics,Camera,346.92
PROD00420,Headphones 536,Electronics,Headphones,350.54
PROD00421,Sweater 182,Clothing,Sweater,171.17
PROD00422,Tablet 790,Electronics,Tablet,30.52
PROD00423,Sci-Fi 576,Books,Sci-Fi,185.96
PROD00424,Sweater 672,Clothing,Sweater,282.58
PROD00425,Jeans 442,Clothing,Jeans,61.21
PROD00426,History 870,Books,History,479.76
PROD00427,Sweater 879,Clothing,Sweater,179.59
PROD00428,Blender 796,Home,Blender,31.96
PROD00429,Table 563,Home,Table,265.71
PROD00430,Smartwatch 826,Electronics,Smartwatch,413.56
PROD00431,Rug 735,Home,Rug,338.29
PROD00432,  lAPtOp 568 ,Electronics,Laptop,273.01
PROD00433,Sneakers 455,Clothing,Sneakers,370.17
PROD00434, Headphones 293   ,Electronics,Headphones,208.79
PROD00435,Cookware 761,Home,Cookware,245.64
PROD00436,Biography 411,Books,Biography,449.65
PROD00437,Chair 908,Home,Chair,244.7
PROD00438,Lamp 251,Home,Lamp,230.68
PROD00439,Socks 264,Clothing,Socks,146.2
PROD00440,Sweater 809,Clothing,Sweater,398.26
PROD00441,  JEaNS 219   ,Clothing,Jeans,154.27
PROD00442,Smartwatch 611,Electronics,Smartwatch,474.16
PROD00443,Chair 104,Home,Chair,275.34
PROD00444,Cookware 822,Home,Cookware,448.51
PROD00445,Socks 846,Clothing,Socks,223.84
PROD00446,Camera 590,Electronics,Camera,74.01
PROD00447,Headphones 125,Electronics,Headphones,421.23
PROD00448,Sci-Fi 194,Books,Sci-Fi,306.03
PROD00449,Socks 639,Clothing,Socks,468.15
PROD00450,  Chair 123   ,Home,Chair,48.25
PROD00451,Non-Fiction 602,Books,Non-Fiction,304.51
PROD00452,Camera 469,Electronics,Camera,359.4
PROD00453,Sci-Fi 495,Books,Sci-Fi,145.9
PROD00454,Table 556,Home,Table,48.36
PROD00455,History 525,Books,History,147.87
PROD00456,History 524,Books,History,295.65
PROD00457,Laptop 312,Electronics,Laptop,494.25
PROD00458,Lamp 704,Home,Lamp,48.78
PROD00459,History 379,Books,History,280.13
PROD00460,Jeans 290,Clothing,Jeans,148.28
PROD00461,Fiction 942,Books,Fiction,418.12
PROD00462,Rug 672,Home,Rug,116.14
PROD00463,Laptop 368,Electronics,Laptop,322.07
PROD00464,Fiction 769,Books,Fiction,147.41
PROD00465,Sneakers 804,Clothing,Sneakers,19.08
PROD00466,Rug 168,Home,Rug,184.07
PROD00467,Mystery 546,Books,Mystery,315.86
PROD00468,History 937,Books,History,258.7
PROD00469,Headphones 266,Electronics,Headphones,77.34
PROD00470,History 238,Books,History,31.18
PROD00471,Rug 751,Home,Rug,181.21
PROD00472,Table 642,Home,Table,43.03
PROD00473,Sweater 287,Clothing,Sweater,301.39
PROD00474,Socks 430,Clothing,Socks,414.28
PROD00475,Table 801,Home,Table,184.45
PROD00476,Chair 113,Home,Chair,144.3
PROD00477,Biography 448,Books,Biography,85.7
PROD00478,Jeans 615,Clothing,Jeans,98.27
PROD00479,Smartwatch 571,Electronics,Smartwatch,62.7
PROD00480,T-Shirt 591,Clothing,T-Shirt,347.07
PROD00481,Sneakers 711,Clothing,Sneakers,485.21
PROD00482, swEAtEr 411 ,Clothing,Sweater,102.19
PROD00483,Camera 625,Electronics,Camera,237.2
PROD00484,Lamp 167,Home,Lamp,10.08
PROD00485,Smartphone 716,Electronics,Smartphone,451.08
PROD00486, Sweater 459   ,Clothing,Sweater,474.65
PROD00487,Table 264,Home,Table,391.5
PROD00488,   Socks 683 ,Clothing,Socks,359.33
PROD00489,Chair 872,Home,Chair,486.92
PROD00490,Laptop 616,Electronics,Laptop,239.98
PROD00491,Sneakers 789,Clothing,Sneakers,94.52
PROD00492,Rug 534,Home,Rug,117.64
PROD00493,Headphones 226,Electronics,Headphones,262.27
PROD00494,Sci-Fi 821,Books,Sci-Fi,362.46
PROD00495,Headphones 605,Electronics,Headphones,145.39
PROD00496,Cookware 961,Home,Cookware,279.19
PROD00497,Rug 293,Home,Rug,447.9
PROD00498,History 476,Books,History,499.37
PROD00499,History 207,Books,History,263.72
PROD00500,Smartphone 246,Electronics,Smartphone,349.04
